iter	Passed	Remaining
1142	213763	48063
1143	213997	47887
1144	214210	47706
1145	214412	47522
1146	214618	47339
1147	214831	47158
1148	215027	46972
1149	215228	46788
1150	215410	46600
1151	215590	46411
1152	215796	46228
1153	216014	46048
1154	216213	45863
1155	216414	45679
1156	216638	45499
1157	216855	45318
1158	217070	45137
1159	217254	44949
1160	217472	44768
1161	217673	44583
1162	217873	44399
1163	218093	44218
1164	218301	44035
1165	218521	43854
1166	218758	43676
1167	218969	43493
1168	219169	43308
1169	219369	43123
1170	219565	42937
1171	219752	42750
1172	219930	42561
1173	220103	42370
1174	220343	42193
1175	220528	42005
1176	220744	41823
1177	220960	41641
1178	221170	41457
1179	221397	41277
1180	221610	41094
1181	221844	40915
1182	222049	40731
1183	222241	40544
1184	222470	40363
1185	222661	40176
1186	222869	39992
1187	223093	39811
1188	223301	39627
1189	223525	39445
1190	223746	39263
1191	223929	39074
1192	224114	38886
1193	224297	38697
1194	224481	38509
1195	224680	38323
1196	224903	38141
1197	225221	37975
1198	225536	37808
1199	225799	37633
1200	226087	37461
1201	226371	37289
1202	226739	37130
1203	227005	36954
1204	227239	36773
1205	227495	36595
1206	227726	36413
1207	227931	36227
1208	228138	36041
1209	228398	35864
1210	228614	35679
1211	228844	35497
1212	229036	35308
1213	229257	35125
1214	229468	34939
1215	229658	34750
1216	229870	34565
1217	230091	34381
1218	230301	34195
1219	230539	34013
1220	230739	33826
1221	230935	33638
1222	231136	33451
1223	231337	33264
1224	231530	33075
1225	231717	32886
1226	231925	32700
1227	232116	32511
1228	232318	32324
1229	232534	32138
1230	232739	31952
1231	232938	31764
1232	233153	31578
1233	233371	31393
1234	233580	31207
1235	233776	31018
1236	234001	30834
1237	234183	30644
1238	234414	30460
1239	234653	30277
1240	234879	30093
1241	235102	29908
1242	235289	29718
1243	235477	29529
1244	235672	29340
1245	235873	29152
1246	236083	28966
1247	236327	28783
1248	236553	28598
1249	236791	28414
1250	237032	28231
1251	237234	28043
1252	237454	27857
1253	237693	27674
1254	237895	27485
1255	238105	27298
1256	238282	27107
1257	238517	26923
1258	238743	26737
1259	238935	26548
1260	239146	26361
1261	239326	26170
1262	239526	25981
1263	239725	25793
1264	239921	25604
1265	240111	25414
1266	240317	25226
1267	240534	25039
1268	240766	24854
1269	241006	24669
1270	241247	24485
1271	241451	24296
1272	241659	24109
1273	241859	23920
1274	242058	23731
1275	242272	23543
1276	242475	23355
1277	242654	23164
1278	242861	22975
1279	243079	22788
1280	243287	22600
1281	243509	22413
1282	243727	22226
1283	243957	22039
1284	244171	21851
1285	244418	21666
1286	244627	21478
1287	244847	21291
1288	245063	21103
1289	245248	20912
1290	245505	20728
1291	245744	20542
1292	245974	20355
1293	246189	20166
1294	246380	19976
1295	246586	19787
1296	246806	19599
1297	247029	19412
1298	247236	19223
1299	247436	19033
1300	247689	18847
1301	247897	18658
1302	248120	18470
1303	248327	18281
1304	248563	18094
1305	248771	17905
1306	249001	17717
1307	249231	17530
1308	249465	17342
1309	249687	17154
1310	249937	16967
1311	250139	16777
1312	250380	16590
1313	250608	16402
1314	250830	16213
1315	251038	16023
1316	251244	15833
1317	251477	15645
1318	251700	15456
1319	251907	15267
1320	252106	15076
1321	252286	14885
1322	252463	14693
1323	252643	14502
1324	252806	14309
1325	252986	14118
1326	253193	13928
1327	253382	13737
1328	253550	13545
1329	253725	13353
1330	253902	13162
1331	254081	12971
1332	254266	12780
1333	254455	12589
1334	254637	12398
1335	254828	12207
1336	255029	12017
1337	255223	11826
